AAA, NTGA, Anaa Airport, --U--PF, null, Pacific/Tahiti
AKQ, ID-AKQ, Gunung Batin Airport, Astraksetra-Sumatra Island--LA--ID, null, Asia/Jakarta
AKR, DNAK, Akure Airport, Akure--ON--NG, null, Africa/Lagos
AKS, AGGA, Gwaunaru'u Airport, Auki--ML--SB, null, Pacific/Guadalcanal
AKT, LCRA, RAF Akrotiri, Akrotiri--U--GB, null, Asia/Nicosia
AKU, ZWAK, Aksu Airport, Aksu--65--CN, null, Asia/Shanghai
AKV, CYKO, Akulivik Airport, Akulivik--QC--CA, null, America/Toronto
AKW, OIAG, Aghajari Airport, Aghajari--10--IR, null, Asia/Tehran
AKX, UATT, Aktobe Airport, Aktyubinsk--AKT--KZ, null, Asia/Aqtobe
AKY, VYSW, Sittwe Airport, Sittwe--16--MM, null, Asia/Yangon
ALA, UAAA, Almaty Airport, Almaty--ALM--KZ, null, Asia/Almaty
ALB, KALB, Albany International Airport, Albany--NY--US, null, America/New_York
ALC, LEAL, Alicante International Airport, Alicante--V--ES, null, Europe/Madrid
ALD, SPAR, Alerta Airport, Fortaleza--MDD--PE, null, America/Lima
ALE, KE38, Alpine Casparis Municipal Airport, Alpine--TX--US, null, America/Chicago
ALF, ENAT, Alta Airport, Alta--20--NO, null, Europe/Oslo
ALG, DAAG, Houari Boumediene Airport, Algiers--35--DZ, null, Africa/Algiers
ALH, YABA, Albany Airport, Albany--WA--AU, null, Australia/Perth
ALI, KALI, Alice International Airport, Alice--TX--US, null, America/Chicago
ALJ, FAAB, Alexander Bay Airport, Alexander Bay--NC--ZA, null, Africa/Johannesburg
ALL, LIMG, Villanova D'Albenga International Airport, Albenga (SV)--42--IT, null, Europe/Rome
ALM, KALM, Alamogordo White Sands Regional Airport, Alamogordo--NM--US, null, America/Denver
ALN, KALN, St Louis Regional Airport, Alton/St Louis--IL--US, null, America/Chicago
ALO, KALO, Waterloo Regional Airport, Waterloo--IA--US, null, America/Chicago
ALP, OSAP, Aleppo International Airport, Aleppo--HL--SY, null, Asia/Damascus
ALQ, SSLT, Alegrete Novo Airport, Alegrete--RS--BR, null, America/Sao_Paulo
ALR, NZLX, Alexandra Airport, Alexandra--OTA--NZ, null, Pacific/Auckland
ALS, KALS, San Luis Valley Regional Bergman Field, Alamosa--CO--US, null, America/Denver
ALT, BR-ALT, Alenquer Airport, Alenquer--PA--BR, null, America/Santarem
ALU, HCMA, Alula Airport, Alula--BR--SO, null, Africa/Mogadishu
ALW, KALW, Walla Walla Regional Airport, Walla Walla--WA--US, null, America/Los_Angeles
ALX, KALX, Thomas C Russell Field, Alexander City--AL--US, null, America/Chicago
ALY, HEAX, El Nouzha Airport, Alexandria--ALX--EG, null, Africa/Cairo
ALZ, ALZ, Alitak Seaplane Base, Lazy Bay--AK--US, null, America/Anchorage
AMA, KAMA, Rick Husband Amarillo International Airport, Amarillo--TX--US, null, America/Chicago
AMB, FMNE, Ambilobe Airport, --D--MG, null, Indian/Antananarivo
AMC, FTTN, Am Timan Airport, Am Timan--SA--TD, null, Africa/Ndjamena
AMD, VAAH, Sardar Vallabhbhai Patel International Airport, Ahmedabad--GJ--IN, null, Asia/Kolkata
AME, AME, Alto Molocue Airport, Alto Molocue--Q--MZ, null, Africa/Maputo
AMF, AMF, Ama Airport, --ESW--PG, null, Pacific/Port_Moresby
AMH, HAAM, Arba Minch Airport, --SN--ET, null, Africa/Addis_Ababa
AMI, WADA, Selaparang Airport, Mataram-Lombok Island--NB--ID, null, Asia/Makassar
AMJ, SNAR, Cirilo Queiróz Airport, Almenara--MG--BR, null, America/Sao_Paulo
AMK, K00C, Animas Air Park, Durango--CO--US, null, America/Denver
AML, PA-AML, Puerto Armuelles Airport, Puerto Armuelles--4--PA, null, America/Panama
AMM, OJAI, Queen Alia International Airport, Amman--AM--JO, null, Asia/Amman
AMN, KAMN, Gratiot Community Airport, Alma--MI--US, null, America/Detroit
AMO, FTTU, Mao Airport, Mao--KA--TD, null, Africa/Ndjamena
AMP, FMSY, Ampanihy Airport, Ampanihy--U--MG, null, Indian/Antananarivo
AMS, EHAM, Amsterdam Airport Schiphol, Amsterdam--NH--NL, null, Europe/Amsterdam
AMT, YAMT, Amata Airport, --SA--AU, null, Australia/Adelaide
AMU, AMU, Amanab Airport, Amanab--SAN--PG, null, Pacific/Port_Moresby
AMV, ULDD, Amderma Airport, Amderma--NEN--RU, null, Europe/Moscow
AMW, KAMW, Ames Municipal Airport, Ames--IA--US, null, America/Chicago
AMX, YAMM, Ammaroo Airport, --NT--AU, null, Australia/Darwin
AMY, AMY, Ambatomainty Airport, --M--MG, null, Indian/Antananarivo
AMZ, NZAR, Ardmore Airport, Manurewa--AUK--NZ, null, Pacific/Auckland
ANA, KE-6112, Angama Airport, Maasai Mara--700--KE, null, Africa/Nairobi
ANB, KANB, Anniston Regional Airport, Anniston--AL--US, null, America/Chicago
ANC, PANC, Ted Stevens Anchorage International Airport, Anchorage--AK--US, null, America/Anchorage
AND, KAND, Anderson Regional Airport, Anderson--SC--US, null, America/New_York
ANE, LFJR, Angers-Loire Airport, Angers/Marcé--PDL--FR, null, Europe/Paris
ANF, SCFA, Andrés Sabella Gálvez International Airport, Antofagasta--AN--CL, null, America/Santiago
ANG, LFBU, Angoulême-Brie-Champniers Airport, Angoulême/Brie/Champniers--NAQ--FR, null, Europe/Paris
ANI, PANI, Aniak Airport, Aniak--AK--US, null, America/Anchorage
ANJ, FCBZ, Zanaga Airport, Zanaga--2--CG, null, Africa/Brazzaville
ANK, LTAD, Etimesgut Air Base, Ankara--06--TR, null, Europe/Istanbul
ANL, AO-0005, Andulo Airport, --BIE--AO, null, Africa/Luanda
ANM, FMNH, Antsirabato Airport, --D--MG, null, Indian/Antananarivo
ANN, PANT, Annette Island Airport, Annette--AK--US, null, America/Metlakatla
ANO, FQAG, Angoche Airport, Angoche--N--MZ, null, Africa/Maputo
ANP, KANP, Lee Airport, Annapolis--MD--US, null, America/New_York
ANQ, KANQ, Tri State Steuben County Airport, Angola--IN--US, null, America/Indiana/Indianapolis
ANR, EBAW, Antwerp International Airport (Deurne), Antwerp--VAN--BE, null, Europe/Brussels
ANS, SPHY, Andahuaylas Airport, Andahuaylas--APU--PE, null, America/Lima
ANU, TAPA, V.C. Bird International Airport, St. John's--03--AG, null, America/Antigua
ANV, PANV, Anvik Airport, Anvik--AK--US, null, America/Anchorage
ANW, KANW, Ainsworth Regional Airport, Ainsworth--NE--US, null, America/Chicago
ANX, ENAN, Andøya Airport, Andenes--18--NO, null, Europe/Oslo
ANY, KANY, Anthony Municipal Airport, Anthony--KS--US, null, America/Chicago
ANZ, ANZ, Angus Downs Airport, Angus Downs Station--NT--AU, null, Australia/Darwin
AOA, AOA, Aroa Airport, Agevairu--CPM--PG, null, Pacific/Port_Moresby
AOB, AOB, Annanberg Airport, --MPM--PG, null, Pacific/Port_Moresby
AOC, EDAC, Altenburg-Nobitz Airport, Altenburg--TH--DE, null, Europe/Berlin
AOD, AOD, Abou-Deïa Airport, Abou-Deïa--SA--TD, null, Africa/Ndjamena
AOE, LTBY, Anadolu Airport, Eskişehir--26--TR, null, Europe/Istanbul
AOG, ZYAS, Anshan Air Base, Anshan--21--CN, null, Asia/Shanghai
AOH, KAOH, Lima Allen County Airport, Lima--OH--US, null, America/New_York
AOI, LIPY, Ancona Falconara Airport, Ancona--57--IT, null, Europe/Rome
AOJ, RJSA, Aomori Airport, Aomori--02--JP, null, Asia/Tokyo
AOK, LGKP, Karpathos Airport, Karpathos Island--81--GR, null, Europe/Athens
AOL, SARL, Paso De Los Libres Airport, Paso de los Libres--W--AR, null, America/Argentina/Cordoba
AOM, OM-0002, Adam Airport, Adam--DA--OM, null, Asia/Muscat
AOO, KAOO, Altoona Blair County Airport, Altoona--PA--US, null, America/New_York
AOP, SPAS, Alferez FAP Alfredo Vladimir Sara Bauer Airport, Andoas--LOR--PE, null, America/Lima
AOR, WMKA, Sultan Abdul Halim Airport, Alor Satar--02--MY, null, Asia/Kuala_Lumpur
AOS, AK81, Amook Bay Seaplane Base, Amook Bay--AK--US, null, America/Anchorage
AOT, LIMW, Aosta Airport, Aosta--23--IT, null, Europe/Rome
AOU, VLAP, Attopeu Airport, Attopeu--AT--LA, null, Asia/Vientiane
APA, KAPA, Centennial Airport, Denver--CO--US, null, America/Denver
APB, SLAP, Apolo Airport, Apolo--L--BO, null, America/La_Paz
APC, KAPC, Napa County Airport, Napa--CA--US, null, America/Los_Angeles
APF, KAPF, Naples Municipal Airport, Naples--FL--US, null, America/New_York
APG, KAPG, Phillips Army Air Field, Aberdeen Proving Grounds(Aberdeen)--MD--US, null, America/New_York
APH, KAPH, A P Hill AAF (Fort A P Hill) Airport, Fort A. P. Hill--VA--US, null, America/New_York
API, SKAP, Gomez Nino Apiay Air Base, Apiay--MET--CO, null, America/Bogota
APK, NTGD, Apataki Airport, Apataki--U--PF, null, Pacific/Tahiti
APL, FQNP, Nampula Airport, Nampula--N--MZ, null, Africa/Maputo
APN, KAPN, Alpena County Regional Airport, Alpena--MI--US, null, America/Detroit
